TypeOrNamespace	Count
Emit	1
Scripting	1
Web	1
IDisposable	1
List<>	202
Dictionary<,>	17
Task<>	47
HashSet<>	11
Task	13
ConcurrentDictionary<,>	3
TimeSpan	5
Type	2
IEnumerable<>	3
FileSystemWatcher	2
Exception	86

DateTime	1
IReadOnlyList<>	1
MetadataReference	6
SyntaxTree	4
Version	2
RandomNumberGenerator	1
ScriptState<>	1
Attribute	3
Action	1
AttributeUsageAttribute	3
AttributeUsage	3
Console	3
IPAddress	1
Sockets	1
Process	2
ProcessStartInfo	2
FileStream	1
MemoryStream	4
CancellationTokenSource	1
OperationCanceledException	1
HttpClient	2
Regex	4
Queryable	1
ArgumentOutOfRangeException	4
DataAnnotations	1
DataMemberAttribute	1
CompilationErrorException	1
